,Total,"Car, truck, or van -- drove alone","Car, truck, or van -- carpooled",Public transportation (excluding taxicab)
Label,Estimate,Estimate,Estimate,Estimate
Workers 16 years and over,154609443,117947627,13902309,7614524
16 to 19 years,5411331,3656376,875845,197978
20 to 24 years,14533288,10615286,1626570,814754
25 to 44 years,67718936,51307218,6464574,3883407
45 to 54 years,31849545,25004897,2627536,1355385
55 to 59 years,14842507,11794763,1042673,601547
60 years and over,20253837,15687034,1251208,761452
Median age (years),42,42,38,38
Male,81633786,62630190,7270908,3822491
Female,72975657,55317437,6631401,3792033
One race,150589597,115116884,13429630,7332787
White,113947159,89404301,9328449,3761575
Black or African American,18089305,13210134,1668277,1789413
American Indian and Alaska Native,1082266,825633,139023,45687
Asian,9431176,6251224,1167794,989888
Native Hawaiian and Other Pacific Islander,309219,235895,41707,15229
Some other race,7730472,5189696,1070478,723380
Two or more races,4019846,2830743,472679,281737
Hispanic or Latino origin (of any race),26902043,19343411,3656307,1713268
"White alone, not Hispanic or Latino",96321683,76312115,6992861,2962050
Native,128016619,99901640,10412829,5147418
Foreign born,26592824,18045987,3489480,2467106
Naturalized U.S. citizen,13605631,9789653,1418036,1149793
Not a U.S. citizen,12987193,8256334,2071444,1317313
Speak language other than English,34941734,24179264,4629469,2794530
"Speak English ""very well""",21645322,15569087,2391197,1621894
"Speak English less than ""very well""",13296412,8610177,2238272,1172637
Workers 16 years and over with earnings,154590909,117938154,13899210,7614076
"$1 to $9,999 or loss",17623364,11675877,2196075,921303
"$10,000 to $14,999",10048409,7194227,1125836,517757
"$15,000 to $24,999",21488136,15921651,2432362,1096427
"$25,000 to $34,999",21333545,16747218,2182176,883233
"$35,000 to $49,999",24889136,20167424,2154378,928917
"$50,000 to $64,999",19014682,15449898,1417719,784250
"$65,000 to $74,999",8193318,6722475,555968,395932
"$75,000 or more",31845727,24295260,1834696,2086257
Median earnings (dollars),38184,40184,30338,40519
Workers 16 years and over,154609443,117947627,13902309,7614524
"Management, business, science, and arts occupations",59524636,45291889,4212400,3335162
Service occupations,27365871,19933149,2919485,1720882
Sales and office occupations,32931811,25594635,2655341,1545748
"Natural resources, construction, and maintenance occupations",13605631,10497339,1862909,327425
"Production, transportation, and material moving occupations",20563056,16394720,2210467,670078
Military specific occupations,463828,353843,41707,7615
Private wage and salary workers,123842164,95183735,11260870,6358128
Government workers,21490713,17220354,1793398,989888
Self-employed workers in own not incorporated business,8967348,5425591,806334,258894
Unpaid family workers,309219,117948,41707,7615
Worked in state of residence,148888894,113819460,13387924,6845457
Worked in county of residence,111628018,83153077,9967956,4233675
Worked outside county of residence,37260876,30666383,3419968,2604167
Worked outside state of residence,5720549,4128167,514385,769067
Workers 16 years and over who did not work at home,146357588,117947627,13902309,7614524
12:00 a.m. to 4:59 a.m.,7317879,6015329,792432,251279
5:00 a.m. to 5:29 a.m.,6000661,4835853,667311,274123
5:30 a.m. to 5:59 a.m.,7317879,6015329,778529,304581
6:00 a.m. to 6:29 a.m.,13172183,10733234,1376329,654849
6:30 a.m. to 6:59 a.m.,14196686,11912710,1390231,624391
7:00 a.m. to 7:29 a.m.,21368208,17456249,2071444,1149793
7:30 a.m. to 7:59 a.m.,17709268,14861401,1473645,829983
8:00 a.m. to 8:29 a.m.,15952977,12738344,1209501,1149793
8:30 a.m. to 8:59 a.m.,7903310,6251224,625604,502559
9:00 a.m. to 11:59 p.m.,35418536,27245902,3517284,1880787
Less than 10 minutes,17562911,13681925,1557059,83760
10 to 14 minutes,19172844,15922930,1835105,159905
15 to 19 minutes,22246353,18753673,2099249,319810
20 to 24 minutes,20929135,17692144,1932421,510173
25 to 29 minutes,9513243,8256334,820236,281737
30 to 34 minutes,20343705,16512668,2001932,1165022
35 to 44 minutes,10537746,8610177,959259,799525
45 to 59 minutes,12294037,9553758,1181696,1332542
60 or more minutes,13903971,8964020,1515352,2969664
Mean travel time to work (minutes),27,26,28,51
Workers 16 years and over in households,153149746,117553927,13772254,7511512
No vehicle available,6585439,1410647,716157,2629029
1 vehicle available,30936249,21982584,3016124,2321057
2 vehicles available,61719348,49725311,5150823,1652533
3 or more vehicles available,54061860,44435384,4902922,916404
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
