,United States,,,
,Total,"Car, truck, or van -- drove alone","Car, truck, or van -- carpooled",Public transportation (excluding taxicab)
Workers 16 years and over,156941346,119153349,13900979,7778444
16 to 19 years,5649888,3693754,917465,210018
20 to 24 years,14752487,10723801,1640316,832294
25 to 44 years,68740310,51950860,6422252,3951450
45 to 54 years,31702152,24545590,2585582,1369006
55 to 59 years,14909428,11796182,1028672,598940
60 years and over,21187082,16443162,1306692,808958
Median age (years),42,42,38,38
Male,82865031,63270428,7186806,3897000
Female,74076315,55882921,6714173,3881444
One race,152703930,116293669,13428346,7490642
White,115038007,89841625,9299755,3858108
Black or African American,18832962,13702635,1668117,1796821
American Indian and Alaska Native,1098589,834073,139010,54449
Asian,9730363,6434281,1167682,1034533
Native Hawaiian and Other Pacific Islander,313883,238307,41703,15557
Some other race,7847067,5242747,1112078,731174
Two or more races,4237416,2859680,472633,287802
Hispanic or Latino origin (of any race),27778618,19898609,3683759,1742371
"White alone, not Hispanic or Latino",96675869,76258143,6964390,3041372
Native,129947434,100922887,10439635,5312677
Foreign born,26993912,18230462,3461344,2465767
Naturalized U.S. citizen,13967780,10128035,1445702,1158988
Not a U.S. citizen,13026132,8102428,2015642,1306779
Speak language other than English,35782627,24783897,4601224,2846911
"Speak English ""very well""",22442612,16085702,2418770,1695701
"Speak English less than ""very well""",13340014,8698194,2196355,1151210
Workers 16 years and over with earnings,156922068,119145358,13898396,7778095
"$1 to $9,999 or loss",17261427,11318809,2154251,894481
"$10,000 to $14,999",9729168,6910431,1097973,490020
"$15,000 to $24,999",20713713,15250606,2334931,1011152
"$25,000 to $34,999",21498323,16680350,2154251,925593
"$35,000 to $49,999",25578297,20493002,2195947,964484
"$50,000 to $64,999",19615259,15846333,1431535,793366
"$65,000 to $74,999",8630714,6910431,583733,396683
"$75,000 or more",34052089,25735397,1945775,2302316
Median earnings (dollars),40083,40936,30927,42085
Workers 16 years and over,156941346,119153349,13900979,7778444
"Management, business, science, and arts occupations",62462656,46946420,4392709,3562527
Service occupations,27464736,20017763,2933107,1719036
Sales and office occupations,31859093,24545590,2502176,1470126
"Natural resources, construction, and maintenance occupations",13967780,10723801,1834929,350030
"Production, transportation, and material moving occupations",20716258,16443162,2182454,661168
Military specific occupations,627765,357460,41703,15557
Private wage and salary workers,124768370,95322679,11106882,6456109
Government workers,22913437,18230462,1946137,1042311
Self-employed workers in own not incorporated business,8945657,5361901,806257,264467
Unpaid family workers,313883,238307,41703,15557
Worked in state of residence,151134516,114982982,13400544,7008378
Worked in county of residence,113311652,83645651,10022606,4387042
Worked outside county of residence,37979806,31337331,3377938,2621336
Worked outside state of residence,5806830,4170367,500435,770066
Workers 16 years and over who did not work from home,147970546,119153349,13900979,7778444
12:00 a.m. to 4:59 a.m.,7546498,6076821,806257,256689
5:00 a.m. to 5:29 a.m.,5918822,4766134,653346,256689
5:30 a.m. to 5:59 a.m.,7102586,5957667,736752,287802
6:00 a.m. to 6:29 a.m.,13169379,10723801,1320593,653389
6:30 a.m. to 6:59 a.m.,14205172,11796182,1376197,598940
7:00 a.m. to 7:29 a.m.,21751670,17873002,2085147,1197880
7:30 a.m. to 7:59 a.m.,17756466,14775015,1487405,832294
8:00 a.m. to 8:29 a.m.,17016613,13583482,1320593,1213437
8:30 a.m. to 8:59 a.m.,8138380,6434281,639445,560048
9:00 a.m. to 11:59 p.m.,35364960,27166964,3489146,1913497
Less than 10 minutes,17608495,13583482,1612514,93341
10 to 14 minutes,19088200,15847395,1807127,163347
15 to 19 minutes,22047611,18587922,2071246,326695
20 to 24 minutes,20863847,17634696,1876632,513377
25 to 29 minutes,9766056,8340734,834059,303359
30 to 34 minutes,20567906,16800622,1973939,1158988
35 to 44 minutes,10801850,8817348,973069,824515
45 to 59 minutes,12577496,9889728,1209385,1407898
60 or more minutes,14501114,9651421,1543009,2986922
Mean travel time to work (minutes),28,26,29,51
Workers 16 years and over in households,155438782,118757588,13782971,7661777
No vehicle available,6683868,1425091,689149,2643313
1 vehicle available,31243195,22088911,3018471,2382813
2 vehicles available,62175513,49759429,5141048,1670267
3 or more vehicles available,55336206,45365399,4948087,957722
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
