"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Car, truck, or van -- drove alone!!Estimate","United States!!Car, truck, or van -- drove alone!!Margin of Error","United States!!Car, truck, or van -- carpooled!!Estimate","United States!!Car, truck, or van -- carpooled!!Margin of Error","United States!!Public transportation (excluding taxicab)!!Estimate","United States!!Public transportation (excluding taxicab)!!Margin of Error"
"Workers 16 years and over","152,735,781","±170,067","116,584,507","±125,685","13,763,532","±81,680","7,641,160","±21,502"
"    AGE","","","","","","","",""
"        16 to 19 years","3.4%","±0.1","3.0%","±0.1","6.0%","±0.1","2.8%","±0.1"
"        20 to 24 years","9.6%","±0.1","9.1%","±0.1","11.9%","±0.1","11.1%","±0.1"
"        25 to 44 years","43.5%","±0.1","43.3%","±0.1","46.2%","±0.1","50.3%","±0.1"
"        45 to 54 years","21.0%","±0.1","21.5%","±0.1","19.3%","±0.1","18.1%","±0.1"
"        55 to 59 years","9.7%","±0.1","10.1%","±0.1","7.6%","±0.1","8.0%","±0.1"
"        60 years and over","12.7%","±0.1","13.0%","±0.1","8.9%","±0.1","9.7%","±0.1"
"        Median age (years)","41.7","±0.1","42.3","±0.1","38.4","±0.1","37.8","±0.2"
"    SEX","","","","","","","",""
"        Male","52.9%","±0.1","53.1%","±0.1","52.7%","±0.1","50.2%","±0.1"
"        Female","47.1%","±0.1","46.9%","±0.1","47.3%","±0.1","49.8%","±0.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"        One race","97.5%","±0.1","97.7%","±0.1","96.8%","±0.1","96.6%","±0.1"
"            White","74.1%","±0.1","76.3%","±0.1","67.5%","±0.1","49.9%","±0.2"
"            Black or African American","11.7%","±0.1","11.1%","±0.1","12.0%","±0.1","23.6%","±0.1"
"            American Indian and Alaska Native","0.7%","±0.1","0.7%","±0.1","1.0%","±0.1","0.6%","±0.1"
"            Asian","5.9%","±0.1","5.1%","±0.1","8.2%","±0.1","12.6%","±0.1"
"            Native Hawaiian and Other Pacific Islander","0.2%","±0.1","0.2%","±0.1","0.3%","±0.1","0.2%","±0.1"
"            Some other race","4.9%","±0.1","4.3%","±0.1","7.9%","±0.1","9.7%","±0.1"
"        Two or more races","2.5%","±0.1","2.3%","±0.1","3.2%","±0.1","3.4%","±0.1"
"        Hispanic or Latino origin (of any race)","17.1%","±0.1","15.9%","±0.1","25.9%","±0.1","22.7%","±0.1"
"        White alone, not Hispanic or Latino","63.0%","±0.1","65.5%","±0.1","51.1%","±0.1","39.1%","±0.1"
"    NATIVITY AND CITIZENSHIP STATUS","","","","","","","",""
"        Native","83.0%","±0.1","85.0%","±0.1","74.9%","±0.2","67.7%","±0.2"
"        Foreign born","17.0%","±0.1","15.0%","±0.1","25.1%","±0.2","32.3%","±0.2"
"            Naturalized U.S. citizen","8.6%","±0.1","8.1%","±0.1","9.9%","±0.1","14.7%","±0.1"
"            Not a U.S. citizen","8.5%","±0.1","6.9%","±0.1","15.2%","±0.2","17.6%","±0.2"
